Название,Тип лодки,Тип Яхты,Команда,Добавить повара,Регион,Акватория,Порт,Каюты,Длина,Места для гостей,Туалет,Корпус,Лодок,Стоимость за день,Состояние,Фото
Ягель,Круизная,Нева,Капитан,Нет,Азовское море,Таганрогский залив,Таганрог,3,9 м,7,1,,1,18000,4,https://searadar.com/uploads/boats/crop/1200/675/754/00/6181-1772106-sun-odyssey-349-b-nara.jpeg
Sea Wolf,Круизная,Ассоль,Капитан,Нет,Азовское море,Темрюкский залив,Темрюк,2,8 м,5,Нет,,1,13500,4,https://searadar.com/uploads/boats/crop/1200/675/e2c/f2/3524-1655576-sun-odyssey-349-actaea.jpeg
Гагара,Круизная,Картер 30,Капитан,Нет,Азовское море,Темрюкский залив,Темрюк,3,9 м,6,Нет,,1,15500,3,https://searadar.com/uploads/boats/crop/1200/675/b41/c5/55867-1796771-sun-odyssey-349-adria-moon.jpeg
Полярная звезда,Круизная,Princess 62,Капитан и помощник,Да,Азовское море,Темрюкский залив,Темрюк,5,19 м,11,2,,1,32500,4,https://searadar.com/uploads/boats/crop/1200/675/dfc/70/53704-1669451-axopar-28-t-top-axopar.jpg
Спинакер,Круизная,Hanse 415,Капитан,Да,Чёрное море,Анапская бухта,Анапа,4,12 м,7,2,,1,22000,4,https://searadar.com/uploads/boats/crop/1200/675/e04/15/12586-1768291-hanse-388-whisper.jpeg
Торос,Круизная,Jeanneau Sun Odyssey 449,Капитан и помощник,Да,Чёрное море,Анапская бухта,Анапа,4,14 м,8,2,,1,25500,4,https://searadar.com/uploads/boats/crop/1200/675/bbc/54/5097-1824150-sun-odyssey-33i-britannia.jpg
Calypso,Круизная,Полутонник,Капитан,Нет,Чёрное море,Анапская бухта,Анапа,4,10 м,7,Нет,,1,21500,4,https://searadar.com/uploads/boats/crop/1200/675/b41/c5/50322-1735485-sun-odyssey-349-horizonte.jpeg
Corvus,Круизная,Конрад 24,Капитан,Нет,Чёрное море,Цемесская бухта,Новороссийск,2,8 м,5,1,,1,17000,5,https://searadar.com/uploads/boats/crop/1200/675/9f4/d7/22286-1783092-sun-odyssey-349-little-owl.jpg
Фордевинд,Круизная,Рикошет 747,Капитан,Нет,Чёрное море,Цемесская бухта,Новороссийск,2,8 м,4,1,,1,13500,5,https://searadar.com/uploads/boats/crop/1200/675/2f6/92/20372-1783062-sun-odyssey-349-lapwing.jpeg
Salty Dog,Круизная,Galeon 425 HTS,Капитан,Да,Чёрное море,Цемесская бухта,Новороссийск,3,13 м,8,2,,1,26500,4,https://searadar.com/uploads/boats/crop/1200/675/2e5/4f/50934-1594237-axopar-37-xc-cross-cabin-axopar.jpg
Midnight Sun,Круизная,Beneteau Oceanis 45,Капитан и помощник,Да,Чёрное море,Геленджикская бухта,Геленджик,3,14 м,9,1,,1,31500,4,https://searadar.com/uploads/boats/crop/1200/675/eb8/4f/3677-1665825-first-35-virgo.jpg
Lyra,Круизная,Дракон,Капитан,Нет,Чёрное море,Геленджикская бухта,Геленджик,3,9 м,6,Нет,,1,19000,3,https://searadar.com/uploads/boats/crop/1200/675/0d6/98/3525-1602739-sun-odyssey-349-meliti.jpeg
Валун,Круизная,Hanse 415,Капитан,Да,Чёрное море,Геленджикская бухта,Геленджик,3,12 м,6,1,,1,19500,3,https://searadar.com/uploads/boats/crop/1200/675/1ab/aa/3081-1825101-hanse-400-aeolus.jpeg
Кайра,Круизная,Lagoon 42,Капитан,Да,Чёрное море,Сочинское побережье,Сочи,3,13 м,9,1,,1,36000,4,https://searadar.com/uploads/boats/crop/1200/675/058/11/58434-1681284-aquila-50-yacht-infinity-i.jpeg
Странник,Круизная,Lagoon 42,Капитан,Да,Чёрное море,Сочинское побережье,Сочи,3,13 м,8,1,,1,30000,3,https://searadar.com/uploads/boats/crop/1200/675/3c7/f5/52690-1807487-aquila-54-by-my-side.jpg
Nomad,Круизная,Конрад 24,Капитан,Нет,Чёрное море,Сочинское побережье,Сочи,2,8 м,5,1,,1,19000,4,https://searadar.com/uploads/boats/crop/1200/675/0a1/03/2206-1612014-jeanneau-sun-odissey-349-mon-amour.jpg
Solitude,Круизная,Рикошет 747,Капитан,Нет,Чёрное море,Сочинское побережье,Сочи,2,8 м,5,1,,1,18000,3,https://searadar.com/uploads/boats/crop/1200/675/467/41/47887-1765436-sun-odyssey-349-nara.jpeg
Секстант,Круизная,McGregor 65,Капитан и помощник,Да,Чёрное море,Туапсинский залив,Туапсе,7,22 м,14,4,,1,47000,4,https://searadar.com/uploads/boats/crop/1200/675/98c/55/50907-1768156-hanse-360-leeloo.jpeg
Zephyr,Круизная,Princess 62,Капитан и помощник,Да,Чёрное море,Туапсинский залив,Туапсе,6,19 м,12,2,,1,39500,4,https://searadar.com/uploads/boats/crop/1200/675/9a0/df/53282-1576313-axopar-37-xc-brabus-voreus.jpg
Tramontana,Круизная,Bavaria 32,Капитан,Нет,Чёрное море,Туапсинский залив,Туапсе,3,10 м,6,Нет,,1,18500,4,https://searadar.com/uploads/boats/crop/1200/675/272/62/6085-1540823-bavaria-36-ankereva.jpg
Коч,Круизная,Ferretti 720,Капитан и помощник,Да,Каспий,Северный Каспий,Астрахань,6,22 м,14,3,,1,42000,4,https://searadar.com/uploads/boats/crop/1200/675/bb8/0d/4959-1717645-azimut-43-fly-shine-iv.jpg
Грот,Круизная,Л-6,Капитан,Нет,Каспий,Северный Каспий,Астрахань,4,11 м,8,Нет,,1,23500,5,https://searadar.com/uploads/boats/crop/1200/675/ae9/ed/7834-1814269-hanse-385-ariel.jpg
Поморка,Круизная,Alubat Ovni 435,Капитан,Да,Каспий,Северный Каспий,Астрахань,3,13 м,7,2,,1,20000,4,https://searadar.com/uploads/boats/crop/1200/675/e04/15/12586-1768291-hanse-388-whisper.jpeg
Sirocco,Круизная,Beneteau Oceanis 45,Капитан и помощник,Да,Каспий,Дагестанское побережье,Махачкала,5,14 м,10,2,,1,28500,3,https://searadar.com/uploads/boats/crop/1200/675/5ab/e6/45998-1805666-first-36-mana.jpeg
Argo,Круизная,Картер 30,Капитан,Нет,Каспий,Дагестанское побережье,Махачкала,3,9 м,6,Нет,,1,16500,3,https://searadar.com/uploads/boats/crop/1200/675/1ab/aa/3081-1825101-hanse-400-aeolus.jpeg
Салинг,Круизная,Ferretti 720,Капитан и помощник,Да,Каспий,Дагестанское побережье,Махачкала,7,22 м,14,3,,1,44500,4,https://searadar.com/uploads/boats/crop/1200/675/0da/59/124-1625001-azimut-46-alma-libre-ii-ac-gen.jpg
Ермак,Круизная,Bavaria 32,Капитан,Нет,Обь,Обское море,Новосибирск,3,10 м,6,1,,1,17500,3,https://searadar.com/uploads/boats/crop/1200/675/54c/2c/2681-1579051-bavaria-37-cruiser-big-blue-horizon.jpg
Стрежень,Круизная,Beneteau Oceanis Yacht 62,Капитан и помощник,Да,Обь,Обское море,Новосибирск,5,19 м,12,3,,1,39500,4,https://searadar.com/uploads/boats/crop/1200/675/c3d/67/39274-1670516-first-367-roko.jpg
Фарватер,Круизная,Конрад 24,Капитан и помощник,Нет,Обь,Обское море,Новосибирск,1,8 м,4,Нет,,1,11500,3,https://searadar.com/uploads/boats/crop/1200/675/f4e/10/28687-1847622-hanse-400-flyer-of-lorne.jpeg
Бакен,Круизная,Опал 3,Капитан и помощник,Нет,Обь,Обское море,Новосибирск,2,8 м,4,1,,1,11500,3,https://searadar.com/uploads/boats/crop/1200/675/b5e/52/12880-1768462-hanse-415-luna.jpg
Створ,Моторная,Nimbus 405 Coupe,Капитан,Да,Обь,Обское море,Новосибирск,4,13 м,8,2,,1,24000,3,https://searadar.com/uploads/boats/crop/1200/675/e5b/61/53365-1593307-azimut-46-azimut-46-app.jpg
Плёс,Моторная,Botnia Targa 32,Капитан и помощник,Нет,Обь,Обское море,Новосибирск,4,10 м,7,1,,1,20500,3,https://searadar.com/uploads/boats/crop/1200/675/95d/55/53745-1675765-azimut-atlantis-55-lia.jpg
Перекат,Круизная,Конрад 24,Капитан и помощник,Нет,Обь,Иртыш,Омск,2,8 м,4,Нет,,1,12000,5,https://searadar.com/uploads/boats/crop/1200/675/2be/fa/12578-1768479-hanse-415-natali.jpeg
Быстрина,Круизная,Galeon 425 HTS,Капитан,Да,Обь,Иртыш,Омск,4,13 м,9,2,,1,28500,5,https://searadar.com/uploads/boats/crop/1200/675/3b3/46/59924-1855654-balt-37-grand-12.jpg
Излучина,Круизная,Galeon 425 HTS,Капитан,Да,Обь,Иртыш,Омск,4,13 м,8,2,,1,22500,3,https://searadar.com/uploads/boats/crop/1200/675/c1a/07/59933-1855714-balt-37-grand-17.jpg
Старица,Круизная,Четвертьтонник,Капитан,Нет,Обь,Нижняя Обь,Ханты-Мансийск,2,8 м,4,Нет,,1,13500,4,https://searadar.com/uploads/boats/crop/1200/675/9c7/b4/58361-1677638-hanse-418-aloisia.jpg
Затон,Круизная,Л-6,Капитан и помощник,Нет,Обь,Нижняя Обь,Ханты-Мансийск,3,11 м,7,1,,1,24000,4,https://searadar.com/uploads/boats/crop/1200/675/a69/1f/4240-1619657-hanse-418-polynoe.jpg
Протока,Круизная,Jeanneau Sun Odyssey 449,Капитан и помощник,Да,Обь,Нижняя Обь,Ханты-Мансийск,4,14 м,9,2,,1,31500,4,https://searadar.com/uploads/boats/crop/1200/675/61d/53/2271-1846418-sun-odyssey-33i-carry-on.jpg
Шивера,Круизная,Jeanneau Sun Odyssey 449,Капитан и помощник,Да,Енисей,Красноярское море,Красноярск,4,14 м,10,2,,1,30000,3,https://searadar.com/uploads/boats/crop/1200/675/ca0/06/5091-1820127-sun-odyssey-33i-maxima.jpg
Тобол,Круизная,Lagoon 42,Капитан,Да,Енисей,Красноярское море,Красноярск,3,13 м,8,1,,1,25500,4,https://searadar.com/uploads/boats/crop/1200/675/250/82/53885-1556488-aquila-54-by-my-side.jpeg
Ишим,Круизная,Bavaria 45,Капитан и помощник,Да,Енисей,Красноярское море,Красноярск,4,15 м,9,2,,1,29000,4,https://searadar.com/uploads/boats/crop/1200/675/4bd/57/3285-1717409-bavaria-37-cruiser-nenemia.jpg
Чулым,Круизная,Четвертьтонник,Капитан,Нет,Енисей,Красноярское море,Красноярск,1,8 м,5,Нет,,1,16000,5,https://searadar.com/uploads/boats/crop/1200/675/d31/e3/46744-1545429-hanse-455-piri-reis-ii.jpeg
Васюган,Моторная,Botnia Targa 32,Капитан,Нет,Енисей,Красноярское море,Красноярск,2,10 м,5,Нет,,1,14500,3,https://searadar.com/uploads/boats/crop/1200/675/1e0/4d/53708-1659775-beneteau-barracuda-8-whisper.jpeg
Кеть,Круизная,Ferretti 720,Капитан и помощник,Да,Енисей,Братское море,Братск,7,22 м,14,4,,1,49500,4,https://searadar.com/uploads/boats/crop/1200/675/6ca/2a/60693-1864229-3d-tender-lux-500-stingray-predator-640.jpg
Томь,Круизная,Dehler 29,Капитан,Нет,Енисей,Братское море,Братск,3,9 м,6,1,,1,20500,5,https://searadar.com/uploads/boats/crop/1200/675/7d4/fa/3572-1589513-hanse-458-celine-1.jpg
Бия,Круизная,Гидра 26,Капитан,Нет,Енисей,Братское море,Братск,2,8 м,4,Нет,,1,13000,4,https://searadar.com/uploads/boats/crop/1200/675/219/e0/5850-1855595-hanse-508-hamam.jpg
Катунь,Круизная,Hanse 445,Капитан,Да,Дон,Нижний Дон,Ростов-на-Дону,4,13 м,8,3,,1,22500,4,https://searadar.com/uploads/boats/crop/1200/675/f4e/10/28687-1847622-hanse-400-flyer-of-lorne.jpeg
Чуя,Круизная,Sunseeker 76,Капитан и помощник,Да,Дон,Нижний Дон,Ростов-на-Дону,7,23 м,14,3,,1,42500,4,https://searadar.com/uploads/boats/crop/1200/675/eb8/19/51384-1571757-akhir-27-shiva.jpg
Абакан,Круизная,Nimbus 405 Coupe,Капитан,Да,Дон,Нижний Дон,Ростов-на-Дону,4,13 м,8,3,,1,21000,3,https://searadar.com/uploads/boats/crop/1200/675/545/dc/50122-1792912-altair-45-nn.jpg
Мана,Круизная,Bavaria 32,Капитан,Нет,Дон,Нижний Дон,Ростов-на-Дону,3,10 м,6,Нет,,1,15500,3,https://searadar.com/uploads/boats/crop/1200/675/74c/0a/49734-1686310-bavaria-37-roger-rabbit.jpeg
Туба,Моторная,Botnia Targa 37,Капитан,Да,Дон,Нижний Дон,Ростов-на-Дону,4,12 м,7,2,,1,19500,4,https://searadar.com/uploads/boats/crop/1200/675/8f5/2c/49977-1655417-altair-zafir-42-running-on-waves.jpg
Илим,Моторная,Princess V50,Капитан и помощник,Да,Дон,Нижний Дон,Ростов-на-Дону,4,15 м,8,2,,1,23000,4,https://searadar.com/uploads/boats/crop/1200/675/f69/92/764-1818452-antares-30-fly-lumar-seamotion.jpg
Ангара,Круизная,Bavaria 32,Капитан,Нет,Дон,Цимлянское море,Волгодонск,3,10 м,6,Нет,,1,15500,3,https://searadar.com/uploads/boats/crop/1200/675/70a/71/4830-1611306-bavaria-37-stairway-to-heaven.jpg
Уда,Круизная,Amel 64,Капитан и помощник,Да,Дон,Цимлянское море,Волгодонск,5,20 м,13,3,,1,41000,5,https://searadar.com/uploads/boats/crop/1200/675/2bb/1d/55929-1796176-dufour-310-gl-expensive-toy.jpg
Бирюса,Круизная,Ассоль,Капитан,Нет,Дон,Цимлянское море,Волгодонск,2,8 м,5,Нет,,1,13500,4,https://searadar.com/uploads/boats/crop/1200/675/b8f/ec/55657-1534577-dufour-310-grand-large-expensive-toy.jpg
Чусовая,Круизная,Конрад 24,Капитан,Нет,Кама,Камское море,Пермь,2,8 м,6,1,,1,16000,3,https://searadar.com/uploads/boats/crop/1200/675/e4e/5d/59866-1854378-dufour-32-silvia.jpeg
Вишера,Круизная,Elan Impression 40,Капитан,Да,Кама,Камское море,Пермь,3,12 м,7,2,,1,19500,3,https://searadar.com/uploads/boats/crop/1200/675/cf7/49/59942-1876849-elan-344-impression-naftaki.jpeg
Сылва,Круизная,Botnia Targa 37,Капитан,Да,Кама,Камское море,Пермь,2,12 м,6,1,,1,18000,4,https://searadar.com/uploads/boats/crop/1200/675/23e/d7/50080-1737263-antares-36-galeb.jpg
Косьва,Круизная,Судоход 88,Капитан и помощник,Да,Кама,Камское море,Пермь,6,17 м,12,2,,1,35000,3,https://searadar.com/uploads/boats/crop/1200/675/77b/b6/1896-1833889-dufour-335-grand-large-pippi-new-engine-2024.jpg
Яйва,Моторная,Botnia Targa 32,Капитан,Нет,Кама,Камское море,Пермь,2,10 м,6,Нет,,1,16500,3,https://searadar.com/uploads/boats/crop/1200/675/f2b/e3/39117-1557862-antares-9-ob-arya.jpg
Иньва,Круизная,Ассоль,Капитан,Нет,Кама,Воткинское водохранилище,Чайковский,2,8 м,4,Нет,,1,11000,3,https://searadar.com/uploads/boats/crop/1200/675/c82/32/59876-1878320-dufour-350-grand-large-arkadia.jpeg
Обва,Круизная,Рикошет 747,Капитан,Нет,Кама,Воткинское водохранилище,Чайковский,1,8 м,4,Нет,,1,11000,3,https://searadar.com/uploads/boats/crop/1200/675/fb2/a8/8-1847798-dufour-350-grand-large-friday.jpg
Хопёр,Круизная,Дракон,Капитан,Нет,Кама,Воткинское водохранилище,Чайковский,3,9 м,6,Нет,,1,18500,5,https://searadar.com/uploads/boats/crop/1200/675/943/e7/2958-1558733-dufour-360-gl-happy-planet.jpeg
Медведица,Круизная,Четвертьтонник,Капитан и помощник,Нет,Кама,Нижнекамское водохранилище,Набережные Челны,1,8 м,5,Нет,,1,13500,3,https://searadar.com/uploads/boats/crop/1200/675/92d/cd/4426-1816946-dufour-360-gl-nautilus.jpg
Маныч,Круизная,Гидра 26,Капитан,Нет,Кама,Нижнекамское водохранилище,Набережные Челны,1,8 м,4,Нет,,1,11500,4,https://searadar.com/uploads/boats/crop/1200/675/5bb/d4/51024-1619008-dufour-37-alma.jpeg
Аксай,Круизная,Полутонник,Капитан и помощник,Нет,Кама,Нижнекамское водохранилище,Набережные Челны,4,10 м,7,1,,1,21500,5,https://searadar.com/uploads/boats/crop/1200/675/58d/f9/46211-1743062-dufour-37-arktur.jpg
Сал,Круизная,Lagoon 620,Капитан и помощник,Да,Псковско-Чудское озеро,Псковское озеро,Псков,6,19 м,11,2,,1,34500,5,https://searadar.com/uploads/boats/crop/1200/675/61e/2b/4208-1604043-astrea-42-adele.jpeg
Чир,Круизная,Hallberg-Rassy 64,Капитан и помощник,Да,Псковско-Чудское озеро,Псковское озеро,Псков,5,20 м,11,2,,1,34500,5,https://searadar.com/uploads/boats/crop/1200/675/560/57/4751-1633768-catalina-42-tintaro.jpg
Донец,Круизная,Bavaria Cruiser 46,Капитан и помощник,Да,Псковско-Чудское озеро,Псковское озеро,Псков,4,14 м,9,2,,1,25500,4,https://searadar.com/uploads/boats/crop/1200/675/38b/71/7876-1630729-bavaria-38-cruiser-1132-bg-sails-2015.jpg
Уссури,Круизная,Lagoon 620,Капитан и помощник,Да,Псковско-Чудское озеро,Чудское озеро,Гдов,5,19 м,13,2,,1,40500,5,https://searadar.com/uploads/boats/crop/1200/675/48c/e5/17-1845847-astrea-42-gloria.jpg
Бурея,Круизная,Л-6,Капитан,Нет,Псковско-Чудское озеро,Чудское озеро,Гдов,4,11 м,7,1,,1,19500,4,https://searadar.com/uploads/boats/crop/1200/675/d98/6a/55928-1796198-dufour-37-iulo.jpg
Хинган,Круизная,Опал 3,Капитан,Нет,Псковско-Чудское озеро,Чудское озеро,Гдов,3,8 м,6,Нет,,1,15500,3,https://searadar.com/uploads/boats/crop/1200/675/083/a7/55642-1534732-dufour-37-iulo.jpg
Анюй,Круизная,Дракон,Капитан,Нет,Селигер и Валдай,Озеро Селигер,Осташков,2,9 м,6,Нет,,1,18500,4,https://searadar.com/uploads/boats/crop/1200/675/776/57/46427-1815112-dufour-373cabin-marsel-the-angel.jpg
Хехцир,Круизная,Картер 30,Капитан,Нет,Селигер и Валдай,Озеро Селигер,Осташков,3,9 м,6,Нет,,1,18500,4,https://searadar.com/uploads/boats/crop/1200/675/c95/85/52521-1813913-dufour-37-momo.jpeg
Тунгуска,Круизная,Hanse 415,Капитан,Да,Селигер и Валдай,Озеро Селигер,Осташков,3,12 м,8,1,,1,26500,5,https://searadar.com/uploads/boats/crop/1200/675/b5e/52/12880-1768462-hanse-415-luna.jpg
Амгунь,Круизная,Гидра 26,Капитан,Нет,Селигер и Валдай,Озеро Селигер,Осташков,1,8 м,4,1,,1,12000,4,https://searadar.com/uploads/boats/crop/1200/675/712/b3/2497-1562007-dufour-382-grand-large-gangaro.jpeg
Таймень,Моторная,Princess V50,Капитан и помощник,Да,Селигер и Валдай,Озеро Селигер,Осташков,4,15 м,9,2,,1,27000,3,https://searadar.com/uploads/boats/crop/1200/675/64e/52/52789-1799430-antares-9-bella-vista.jpg
Ленок,Круизная,Л-6,Капитан и помощник,Нет,Селигер и Валдай,Валдайское озеро,Валдай,4,11 м,8,Нет,,1,25000,4,https://searadar.com/uploads/boats/crop/1200/675/3aa/7a/58203-1678367-dufour-382-grand-large-islay.jpeg
Хариус,Круизная,Botnia Targa 37,Капитан,Да,Селигер и Валдай,Валдайское озеро,Валдай,3,12 м,6,1,,1,17500,3,https://searadar.com/uploads/boats/crop/1200/675/07a/51/52790-1770645-antares-9-bella-vista.jpg
Нельма,Круизная,Рикошет 747,Капитан,Нет,Селигер и Валдай,Валдайское озеро,Валдай,2,8 м,5,Нет,,1,16000,5,https://searadar.com/uploads/boats/crop/1200/675/f26/0b/4458-1716918-dufour-382-gl-morning-star.jpeg
Муксун,Круизная,Рикошет 747,Капитан,Нет,Алтай,Телецкое озеро,Артыбаш,2,8 м,5,Нет,,1,17500,4,https://searadar.com/uploads/boats/crop/1200/675/66f/5a/40491-1644535-dufour-390-grand-large-bade-lal.jpg
Пелядь,Круизная,Jongert 24T,Капитан и помощник,Да,Алтай,Телецкое озеро,Артыбаш,8,24 м,16,4,,1,63500,4,https://searadar.com/uploads/boats/crop/1200/675/c15/45/59492-1727486-atlantis-47-ht-seven.jpg
Сиг,Круизная,Nimbus 405 Coupe,Капитан,Да,Алтай,Телецкое озеро,Артыбаш,4,13 м,9,2,,1,33000,4,https://searadar.com/uploads/boats/crop/1200/675/dfc/70/53704-1669451-axopar-28-t-top-axopar.jpg
Стерлядь,Круизная,Alubat Ovni 435,Капитан,Да,Волга,Угличское водохранилище,Углич,4,13 м,8,2,,1,22500,3,https://searadar.com/uploads/boats/crop/1200/675/76c/13/3327-1608912-dufour-390-gl-cuir-noir.jpg
Осётр,Круизная,Jeanneau Sun Odyssey 410,Капитан,Да,Волга,Угличское водохранилище,Углич,3,12 м,7,2,,1,19500,3,https://searadar.com/uploads/boats/crop/1200/675/2d1/df/59700-1808214-sun-odyssey-349-3-cab-sarita.jpg
Судак,Круизная,Bavaria 32,Капитан,Нет,Волга,Угличское водохранилище,Углич,3,10 м,6,Нет,,1,17500,4,https://searadar.com/uploads/boats/crop/1200/675/d30/d0/5958-1815540-bavaria-38-cruiser-meander.jpg
Жерех,Круизная,Dufour 460 Grand Large,Капитан и помощник,Да,Волга,Чебоксарское водохранилище,Чебоксары,4,14 м,10,2,,1,28500,3,https://searadar.com/uploads/boats/crop/1200/675/77b/b6/1896-1833889-dufour-335-grand-large-pippi-new-engine-2024.jpg
Голавль,Круизная,Alubat Ovni 435,Капитан,Да,Волга,Чебоксарское водохранилище,Чебоксары,3,13 м,9,1,,1,25500,3,https://searadar.com/uploads/boats/crop/1200/675/299/26/2969-1648495-dufour-390-grand-large-friend-planet.jpg
Язь,Круизная,Nauticat 515,Капитан и помощник,Да,Волга,Чебоксарское водохранилище,Чебоксары,4,16 м,10,2,,1,32500,5,https://searadar.com/uploads/boats/crop/1200/675/7e3/0d/22074-1806649-elan-333-anja.jpg
Чехонь,Круизная,Четвертьтонник,Капитан,Нет,Волга,Саратовское водохранилище,Самара,2,8 м,5,1,,1,13500,3,https://searadar.com/uploads/boats/crop/1200/675/f36/ab/60726-1865202-elan-34-argo.jpg
Соболь,Круизная,Botnia Targa 32,Капитан,Нет,Волга,Саратовское водохранилище,Самара,2,10 м,6,Нет,,1,17500,4,https://searadar.com/uploads/boats/crop/1200/675/2e5/4f/50934-1594237-axopar-37-xc-cross-cabin-axopar.jpg
Марал,Круизная,Lagoon 42,Капитан,Да,Волга,Саратовское водохранилище,Самара,3,13 м,7,1,,1,21000,4,https://searadar.com/uploads/boats/crop/1200/675/f3e/09/1791-1595202-astrea-42-nancy.jpeg
Изюбрь,Круизная,Nauticat 515,Капитан и помощник,Да,Волга,Саратовское водохранилище,Самара,5,16 м,10,2,,1,30500,4,https://searadar.com/uploads/boats/crop/1200/675/9f5/9c/59941-1856153-elan-344-impression-argo.jpg
Росомаха,Моторная,Botnia Targa 37,Капитан,Да,Волга,Саратовское водохранилище,Самара,3,12 м,7,2,,1,21000,4,https://searadar.com/uploads/boats/crop/1200/675/9a0/df/53282-1576313-axopar-37-xc-brabus-voreus.jpg
Выдра,Круизная,Конрад 25RT,Капитан,Нет,Волга,Волгоградское водохранилище,Волгоград,4,9 м,7,Нет,,1,21500,5,https://searadar.com/uploads/boats/crop/1200/675/cf7/49/59942-1876849-elan-344-impression-naftaki.jpeg
Бобр,Круизная,Elan Impression 40,Капитан и помощник,Да,Волга,Волгоградское водохранилище,Волгоград,4,12 м,8,2,,1,24000,4,https://searadar.com/uploads/boats/crop/1200/675/7ea/55/52242-1750534-elan-350-performance-november.jpg
Кедровка,Круизная,Bavaria Cruiser 46,Капитан и помощник,Да,Волга,Волгоградское водохранилище,Волгоград,5,14 м,10,3,,1,30000,4,https://searadar.com/uploads/boats/crop/1200/675/16d/a0/2362-1568244-bavaria-38-match-gipsy.jpg
Кедр,Моторная,Azimut 43,Капитан,Да,Волга,Волгоградское водохранилище,Волгоград,4,13 м,9,3,,1,27000,4,https://searadar.com/uploads/boats/crop/1200/675/bb8/0d/4959-1717645-azimut-43-fly-shine-iv.jpg
Пихта,Круизная,Elan Impression 40,Капитан,Да,Волга,Горьковское водохранилище,Нижний Новгород,4,12 м,7,2,,1,19500,3,https://searadar.com/uploads/boats/crop/1200/675/7ea/55/57978-1783781-elan-350-performance-uniform.jpg
Лиственница,Круизная,Swan 65,Капитан и помощник,Да,Волга,Горьковское водохранилище,Нижний Новгород,6,20 м,12,3,,1,38000,4,https://searadar.com/uploads/boats/crop/1200/675/8f7/48/52548-1648074-cyclades-434-classic.jpeg
Багульник,Круизная,Конрад 24,Капитан,Нет,Волга,Горьковское водохранилище,Нижний Новгород,1,8 м,4,Нет,,1,11500,4,https://searadar.com/uploads/boats/crop/1200/675/7ea/55/52242-1750534-elan-350-performance-november.jpg
Жарки,Круизная,Л-6,Капитан,Нет,Волга,Рыбинское водохранилище,Ярославль,4,11 м,7,Нет,,1,19500,3,https://searadar.com/uploads/boats/crop/1200/675/7ea/55/57978-1783781-elan-350-performance-uniform.jpg
Саранка,Круизная,Galeon 425 HTS,Капитан,Да,Волга,Рыбинское водохранилище,Ярославль,3,13 м,7,1,,1,19500,3,https://searadar.com/uploads/boats/crop/1200/675/0da/59/124-1625001-azimut-46-alma-libre-ii-ac-gen.jpg
Облепиха,Круизная,Картер 30,Капитан и помощник,Нет,Волга,Рыбинское водохранилище,Ярославль,4,9 м,7,1,,1,20500,4,https://searadar.com/uploads/boats/crop/1200/675/7ea/55/57979-1783783-elan-350-performance-x-ray.jpg
Черемша,Круизная,Ассоль,Капитан и помощник,Нет,Волга,Куйбышевское водохранилище,Казань,2,8 м,4,Нет,,1,12000,5,https://searadar.com/uploads/boats/crop/1200/675/4c6/38/7865-1552323-elan-350-yankee.jpg
Кипрей,Круизная,Salona 44,Капитан,Да,Волга,Куйбышевское водохранилище,Казань,4,13 м,8,2,,1,25500,5,https://searadar.com/uploads/boats/crop/1200/675/7ea/55/57979-1783783-elan-350-performance-x-ray.jpg
Столбы,Круизная,Картер 30,Капитан,Нет,Волга,Куйбышевское водохранилище,Казань,1,9 м,5,Нет,,1,13500,3,https://searadar.com/uploads/boats/crop/1200/675/494/69/4749-1569216-elan-40-peter-pan.jpg
Такмак,Круизная,Beneteau Oceanis 41,Капитан и помощник,Да,Дальний Восток,Амур,Хабаровск,4,12 м,7,2,,1,27500,4,https://searadar.com/uploads/boats/crop/1200/675/70f/26/30-1539548-first-40-imagine.jpg
Ергаки,Круизная,Судоход 115,Капитан и помощник,Да,Дальний Восток,Амур,Хабаровск,8,28 м,17,3,,1,79500,5,https://searadar.com/uploads/boats/crop/1200/675/b5b/6d/44824-1737549-elan-431-gem.jpg
Саяны,Круизная,Jeanneau Sun Odyssey 410,Капитан,Да,Дальний Восток,Амур,Хабаровск,4,12 м,7,2,,1,27500,4,https://searadar.com/uploads/boats/crop/1200/675/8b9/c4/59826-1851952-sun-odyssey-349-3-cab-sweet-elli.jpg
Жигули,Круизная,Конрад 25RT,Капитан,Нет,Дальний Восток,Амур,Хабаровск,3,9 м,6,1,,1,23000,4,https://searadar.com/uploads/boats/crop/1200/675/a62/f1/59021-1685959-elan-45-elan-45.jpg
Самарская Лука,Моторная,Nimbus 405 Coupe,Капитан,Да,Дальний Восток,Амур,Хабаровск,3,13 м,9,1,,1,36000,4,https://searadar.com/uploads/boats/crop/1200/675/e5b/61/53365-1593307-azimut-46-azimut-46-app.jpg
Свияжск,Круизная,Дракон,Капитан,Нет,Дальний Восток,Амурский лиман,Николаевск-на-Амуре,2,9 м,5,Нет,,1,20500,3,https://searadar.com/uploads/boats/crop/1200/675/78b/6c/52172-1739981-elan-e4-bella-mia.jpg
Макарьев,Круизная,Bavaria Cruiser 46,Капитан и помощник,Да,Дальний Восток,Амурский лиман,Николаевск-на-Амуре,3,14 м,9,1,,1,40500,4,https://searadar.com/uploads/boats/crop/1200/675/cff/7f/55856-1852365-bavaria-38-noelle.png
