Название,Тип лодки,Тип Яхты,Команда,Добавить повара,Регион,Порт,Каюты,Длина,Места для гостей,Туалет ,Стоимость за день,Состояние,Фото
Облепиха,Круизная,Картер 30,Капитан и помощник,Нет,Рыбинское водохранилище,Ярославль,4,9 м,7,1,20500,4,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/%D0%9F%D1%80%D0%B8%D1%87%D0%B0%D0%BB%D0%9F%D0%B5%D1%82%D1%80%D0%BE%D0%B7%D0%B0%D0%B2%D0%BE%D0%B4%D1%81%D0%BA%D0%BE%D0%B3%D0%BE%D0%9F%D0%BE%D1%80%D1%82%D0%B0.jpg/1280px-%D0%9F%D1%80%D0%B8%D1%87%D0%B0%D0%BB%D0%9F%D0%B5%D1%82%D1%80%D0%BE%D0%B7%D0%B0%D0%B2%D0%BE%D0%B4%D1%81%D0%BA%D0%BE%D0%B3%D0%BE%D0%9F%D0%BE%D1%80%D1%82%D0%B0.jpg
Черемша,Круизная,Ассоль,Капитан и помощник,Нет,Куйбышевское водохранилище,Казань,2,8 м,4,Нет,12000,5,https://upload.wikimedia.org/wikipedia/commons/8/81/%D0%AF%D1%85%D1%82%D0%B0_%22%D0%92%D0%B8%D0%B3%D1%80%D0%B8%22%2C_RUS_1226.jpg
Кипрей,Круизная,Salona 44,Капитан,Да,Куйбышевское водохранилище,Казань,4,13 м,8,2,25500,5,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/%D0%AF%D1%85%D1%82%D1%8B_%D0%BD%D0%B0_%D0%9E%D0%B1%D1%81%D0%BA%D0%BE%D0%BC_%D0%BC%D0%BE%D1%80%D0%B5_-_panoramio.jpg/1280px-%D0%AF%D1%85%D1%82%D1%8B_%D0%BD%D0%B0_%D0%9E%D0%B1%D1%81%D0%BA%D0%BE%D0%BC_%D0%BC%D0%BE%D1%80%D0%B5_-_panoramio.jpg
Столбы,Круизная,Картер 30,Капитан,Нет,Куйбышевское водохранилище,Казань,1,9 м,5,Нет,13500,3,https://upload.wikimedia.org/wikipedia/commons/a/aa/Admiral_nevelskoi_yacht.jpg
Такмак,Круизная,Beneteau Oceanis 41,Капитан и помощник,Да,Амур,Хабаровск,4,12 м,7,2,27500,4,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Catamaran_m761.jpg/1280px-Catamaran_m761.jpg
Ергаки,Круизная,Судоход 115,Капитан и помощник,Да,Амур,Хабаровск,8,28 м,17,3,79500,5,https://upload.wikimedia.org/wikipedia/commons/8/89/GRINDA_2010.jpg
Саяны,Круизная,Jeanneau Sun Odyssey 410,Капитан,Да,Амур,Хабаровск,4,12 м,7,2,27500,4,https://upload.wikimedia.org/wikipedia/commons/6/63/Princess57_%284949873489%29.jpg
Жигули,Круизная,Конрад 25RT,Капитан,Нет,Амур,Хабаровск,3,9 м,6,1,23000,4,https://upload.wikimedia.org/wikipedia/commons/f/fa/Sortavala_harbour.jpg
Самарская Лука,Моторная,Nimbus 405 Coupe,Капитан,Да,Амур,Хабаровск,3,13 м,9,1,36000,4,https://upload.wikimedia.org/wikipedia/commons/2/2d/Yacht_Sierra_in_Strogino_2024.jpg
Свияжск,Круизная,Дракон,Капитан,Нет,Амурский лиман,Николаевск-на-Амуре,2,9 м,5,Нет,20500,3,https://upload.wikimedia.org/wikipedia/commons/b/bf/%D0%91%D0%B5%D0%BB%D0%BE%D0%B5_%D0%BC%D0%BE%D1%80%D0%B5_76.jpg
Макарьев,Круизная,Bavaria Cruiser 46,Капитан и помощник,Да,Амурский лиман,Николаевск-на-Амуре,3,14 м,9,1,40500,4,https://upload.wikimedia.org/wikipedia/commons/8/80/%D0%92%D0%B5%D1%82%D0%B5%D1%80_%D0%9B%D0%B0%D0%B4%D0%BE%D0%B3%D0%B004.jpg
Кинешма,Круизная,Sunseeker 76,Капитан и помощник,Да,Амурский лиман,Николаевск-на-Амуре,5,23 м,13,2,66500,5,https://upload.wikimedia.org/wikipedia/commons/d/d9/%D0%9C%D0%B5%D0%B2%D1%8B_%D0%BD%D0%B0_%D0%90%D0%B7%D0%BE%D0%B2%D0%B5.jpg
Юрьевец,Круизная,Рикошет 747,Капитан,Нет,Зейское море,Зея,2,8 м,5,1,19500,3,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Kazan_River_port_area_08-2016_img1.jpg/1280px-Kazan_River_port_area_08-2016_img1.jpg
Городец,Круизная,Картер 30,Капитан и помощник,Нет,Зейское море,Зея,2,9 м,5,Нет,22500,5,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Nizhny_Novgorod._Saint_Simeon_Church_in_the_Kremlin._Yachting_on_the_Volga._August_19%2C_2023.jpg/1280px-Nizhny_Novgorod._Saint_Simeon_Church_in_the_Kremlin._Yachting_on_the_Volga._August_19%2C_2023.jpg
Изборск,Круизная,Дракон,Капитан,Нет,Зейское море,Зея,3,9 м,6,Нет,23500,3,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Taganrog._Yacht_club_and_port_P4300007_2350.jpg/1280px-Taganrog._Yacht_club_and_port_P4300007_2350.jpg
Печоры,Круизная,Таганрог 70,Капитан и помощник,Да,Озеро Имандра,Мончегорск,6,21 м,13,2,51000,5,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Unknown_Russian_Yacht_%D0%A018-48%D0%9C%D0%93_in_Tallinn_22_May_2013.jpg/1280px-Unknown_Russian_Yacht_%D0%A018-48%D0%9C%D0%93_in_Tallinn_22_May_2013.jpg
Талабск,Круизная,Nimbus 405 Coupe,Капитан,Да,Озеро Имандра,Мончегорск,4,13 м,7,2,24500,4,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Yacht_club_Petrovskaya_kosa_9.jpg/1280px-Yacht_club_Petrovskaya_kosa_9.jpg
Труворово,Круизная,Картер 30,Капитан,Нет,Озеро Имандра,Мончегорск,3,9 м,6,1,21500,5,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/%D0%90%D1%80%D1%85%D0%B0%D0%BD%D0%B3%D0%B5%D0%BB%D1%8C%D1%81%D0%BA%D0%B8%D0%B9_%D1%80%D0%B5%D1%87%D0%BD%D0%BE%D0%B9_%D1%8F%D1%85%D1%82-%D0%BA%D0%BB%D1%83%D0%B1.jpg/1280px-%D0%90%D1%80%D1%85%D0%B0%D0%BD%D0%B3%D0%B5%D0%BB%D1%8C%D1%81%D0%BA%D0%B8%D0%B9_%D1%80%D0%B5%D1%87%D0%BD%D0%BE%D0%B9_%D1%8F%D1%85%D1%82-%D0%BA%D0%BB%D1%83%D0%B1.jpg
Столобный,Круизная,Swan 65,Капитан и помощник,Да,Выгозеро,Сегежа,5,20 м,13,2,48000,5,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/%D0%9F%D0%B0%D1%80%D1%83%D1%81%D0%BD%D0%B0%D1%8F_%D1%80%D0%B5%D0%B3%D0%B0%D1%82%D0%B0_%D0%B2_%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5_IMG_3402WI.jpg/1280px-%D0%9F%D0%B0%D1%80%D1%83%D1%81%D0%BD%D0%B0%D1%8F_%D1%80%D0%B5%D0%B3%D0%B0%D1%82%D0%B0_%D0%B2_%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5_IMG_3402WI.jpg
Хачин,Круизная,Hanse 445,Капитан,Да,Выгозеро,Сегежа,4,13 м,8,3,26500,4,https://upload.wikimedia.org/wikipedia/commons/4/43/%D0%9F%D1%80%D0%BE%D1%81%D1%82%D0%BE%D1%80_2001.jpg
Кравотынь,Круизная,Princess 62,Капитан и помощник,Да,Выгозеро,Сегежа,6,19 м,12,2,41500,4,https://upload.wikimedia.org/wikipedia/commons/e/e8/%D0%AF%D0%BD%D1%82%D0%B0%D1%80%D0%B8_92.jpg
Заплавье,Круизная,Dufour 460 Grand Large,Капитан и помощник,Да,Пяозеро,Лоухи,4,14 м,9,3,30000,3,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/%D0%AF%D1%85%D1%82%D1%8B_%D0%BD%D0%B0_%D0%A0%D0%B5%D0%B9%D0%B4%D0%B5.jpg/1280px-%D0%AF%D1%85%D1%82%D1%8B_%D0%BD%D0%B0_%D0%A0%D0%B5%D0%B9%D0%B4%D0%B5.jpg
Нилова пустынь,Круизная,Bavaria 32,Капитан,Нет,Пяозеро,Лоухи,3,10 м,6,1,19000,3,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/176_%D0%BE._%D0%A0%D0%B5%D0%B9%D0%BD%D0%B5%D0%BA%D0%B5._%D0%9D%D0%B0%D1%88_%D0%BA%D0%B0%D1%82%D0%B5%D1%80.jpg/1280px-176_%D0%BE._%D0%A0%D0%B5%D0%B9%D0%BD%D0%B5%D0%BA%D0%B5._%D0%9D%D0%B0%D1%88_%D0%BA%D0%B0%D1%82%D0%B5%D1%80.jpg
Корбу,Круизная,Дракон,Капитан и помощник,Нет,Пяозеро,Лоухи,2,9 м,5,Нет,16000,3,https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Anlegestelle_in_Listvyanka.jpg/1280px-Anlegestelle_in_Listvyanka.jpg
Чулышман,Круизная,Картер 30,Капитан,Нет,Река Лена,Якутск,4,9 м,7,Нет,36000,5,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Catamaran_sailboat_on_the_lake%2C_Krasnoyarsk_Reservoir%2C_Russia.jpg/1280px-Catamaran_sailboat_on_the_lake%2C_Krasnoyarsk_Reservoir%2C_Russia.jpg
Алтын-Кёль,Круизная,Alubat Ovni 435,Капитан,Да,Река Лена,Якутск,3,13 м,8,2,40000,4,https://upload.wikimedia.org/wikipedia/commons/1/1c/Ship_in_Oktyabrsky.jpg
Артыбашка,Круизная,Jeanneau Sun Odyssey 449,Капитан и помощник,Да,Река Лена,Якутск,5,14 м,10,3,50000,4,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Yaht_Peter_Pervy_M25A0153.jpg/1280px-Yaht_Peter_Pervy_M25A0153.jpg
Хибины,Круизная,Судоход 115,Капитан и помощник,Да,Иваньковское водохранилище,Конаково,7,28 м,17,3,69500,5,https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/%D0%AF%D1%85%D1%82-%D0%BA%D0%BB%D1%83%D0%B1_-_panoramio.jpg/1280px-%D0%AF%D1%85%D1%82-%D0%BA%D0%BB%D1%83%D0%B1_-_panoramio.jpg
Ловозеро,Круизная,Дракон,Капитан,Нет,Иваньковское водохранилище,Конаково,3,9 м,7,1,23500,4,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/40-th_Regatta_Onego-2011.JPG/1280px-40-th_Regatta_Onego-2011.JPG
Умбозеро,Круизная,Дракон,Капитан,Нет,Иваньковское водохранилище,Конаково,4,9 м,7,1,23500,4,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Ladoga._Lauvatsaari_island.jpg/1280px-Ladoga._Lauvatsaari_island.jpg
Сегозеро,Круизная,Полутонник,Капитан,Нет,Иваньковское водохранилище,Конаково,2,10 м,5,Нет,17000,4,https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Peterson_25.JPG/1280px-Peterson_25.JPG
Куйто,Моторная,Nimbus 405 Coupe,Капитан и помощник,Да,Иваньковское водохранилище,Конаково,3,13 м,8,1,26000,3,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Sailing_in_Gulf_of_Finland%2C_Russia-1.jpg/1280px-Sailing_in_Gulf_of_Finland%2C_Russia-1.jpg
