Название,Тип Яхты,Команда,Добавить повара,Регион,Порт,Каюты,Длина,Места для гостей,Туалет ,Стоимость за день,Состояние,Фото
Морошка,Опал 3,Капитан,Нет,Шантарские острова,Чумикан,2,8 м,5,Нет,22000,3,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/176_%D0%BE._%D0%A0%D0%B5%D0%B9%D0%BD%D0%B5%D0%BA%D0%B5._%D0%9D%D0%B0%D1%88_%D0%BA%D0%B0%D1%82%D0%B5%D1%80.jpg/1280px-176_%D0%BE._%D0%A0%D0%B5%D0%B9%D0%BD%D0%B5%D0%BA%D0%B5._%D0%9D%D0%B0%D1%88_%D0%BA%D0%B0%D1%82%D0%B5%D1%80.jpg
Зюйд,Четвертьтонник,Капитан и помощник,Нет,Шантарские острова,Чумикан,2,8 м,5,Нет,23000,4,https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Anlegestelle_in_Listvyanka.jpg/1280px-Anlegestelle_in_Listvyanka.jpg
Альбатрос,Bavaria Cruiser 46,Капитан и помощник,Да,Татарский пролив,Ванино,4,14 м,9,2,34500,4,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Catamaran_sailboat_on_the_lake%2C_Krasnoyarsk_Reservoir%2C_Russia.jpg/1280px-Catamaran_sailboat_on_the_lake%2C_Krasnoyarsk_Reservoir%2C_Russia.jpg
Aquila,Botnia Targa 32,Капитан и помощник,Нет,Татарский пролив,Ванино,1,10 м,5,Нет,18500,4,https://upload.wikimedia.org/wikipedia/commons/1/1c/Ship_in_Oktyabrsky.jpg
Северный ветер,Л-6,Капитан и помощник,Нет,Татарский пролив,Ванино,4,11 м,7,Нет,26500,4,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Yaht_Peter_Pervy_M25A0153.jpg/1280px-Yaht_Peter_Pervy_M25A0153.jpg
Вулкан,Botnia Targa 37,Капитан,Да,Татарский пролив,Ванино,3,12 м,6,2,21500,3,https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/%D0%AF%D1%85%D1%82-%D0%BA%D0%BB%D1%83%D0%B1_-_panoramio.jpg/1280px-%D0%AF%D1%85%D1%82-%D0%BA%D0%BB%D1%83%D0%B1_-_panoramio.jpg
Сивуч,Конрад 24,Капитан,Нет,Сахалин,Корсаков,2,8 м,6,Нет,25500,5,https://static.tildacdn.com/tild3163-6436-4461-b630-333533373061/Photo_21052021_19_55.jpg
Шквал,Дракон,Капитан,Нет,Сахалин,Корсаков,1,9 м,5,Нет,21500,5,https://static.tildacdn.com/tild6266-3762-4766-b939-303630376638/_DSC1609.jpg
Серебряный век,Картер 30,Капитан и помощник,Нет,Сахалин,Корсаков,2,9 м,6,1,24000,4,https://static.tildacdn.com/tild3335-3634-4266-b932-383262303338/DSC09472.jpg
Odyssey,Lagoon 620,Капитан и помощник,Да,Сахалин,Корсаков,6,19 м,11,3,50500,5,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/40-th_Regatta_Onego-2011.JPG/1280px-40-th_Regatta_Onego-2011.JPG
Кальдера,Л-6,Капитан,Нет,Курильские острова,Южно-Курильск,3,11 м,6,1,27500,4,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Ladoga._Lauvatsaari_island.jpg/1280px-Ladoga._Lauvatsaari_island.jpg
Вега,Beneteau First 31.7,Капитан и помощник,Нет,Курильские острова,Южно-Курильск,3,10 м,6,1,25500,3,https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Peterson_25.JPG/1280px-Peterson_25.JPG
Endeavour,Nauticat 515,Капитан и помощник,Да,Курильские острова,Южно-Курильск,4,16 м,9,2,40500,3,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Sailing_in_Gulf_of_Finland%2C_Russia-1.jpg/1280px-Sailing_in_Gulf_of_Finland%2C_Russia-1.jpg
Circe,Опал 3,Капитан,Нет,Курильские острова,Южно-Курильск,1,8 м,4,1,18000,4,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Sailing_in_Gulf_of_Finland%2C_Saint_Petersburg.jpg/1280px-Sailing_in_Gulf_of_Finland%2C_Saint_Petersburg.jpg
Пилигрим,Nimbus 405 Coupe,Капитан,Да,Залив Терпения,Поронайск,3,13 м,7,1,28000,4,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Sunset_over_Gulf_of_Finland%2C_Saint_Petersburg.jpg/1280px-Sunset_over_Gulf_of_Finland%2C_Saint_Petersburg.jpg
Варяг,Нева,Капитан и помощник,Нет,Залив Терпения,Поронайск,3,9 м,6,Нет,22000,3,https://upload.wikimedia.org/wikipedia/commons/2/22/%D0%90%D0%BB%D1%8C%D0%B1%D0%B0%D1%82%D1%80%D0%BE%D1%81%D1%8B_%D0%BD%D0%B0_%D0%9B%D0%B0%D0%B4%D0%BE%D0%B3%D0%B5.jpg
Стаксель,Lagoon 42,Капитан,Да,Залив Терпения,Поронайск,3,13 м,8,1,32000,4,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/%D0%9F%D1%80%D0%B8%D1%87%D0%B0%D0%BB%D0%9F%D0%B5%D1%82%D1%80%D0%BE%D0%B7%D0%B0%D0%B2%D0%BE%D0%B4%D1%81%D0%BA%D0%BE%D0%B3%D0%BE%D0%9F%D0%BE%D1%80%D1%82%D0%B0.jpg/1280px-%D0%9F%D1%80%D0%B8%D1%87%D0%B0%D0%BB%D0%9F%D0%B5%D1%82%D1%80%D0%BE%D0%B7%D0%B0%D0%B2%D0%BE%D0%B4%D1%81%D0%BA%D0%BE%D0%B3%D0%BE%D0%9F%D0%BE%D1%80%D1%82%D0%B0.jpg
True North,Galeon 425 HTS,Капитан и помощник,Да,Залив Терпения,Поронайск,4,13 м,8,2,34000,5,https://upload.wikimedia.org/wikipedia/commons/8/81/%D0%AF%D1%85%D1%82%D0%B0_%22%D0%92%D0%B8%D0%B3%D1%80%D0%B8%22%2C_RUS_1226.jpg
Галс,Конрад 24,Капитан,Нет,Залив Петра Великого,Славянка,1,8 м,5,Нет,17500,4,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/176_%D0%BE._%D0%A0%D0%B5%D0%B9%D0%BD%D0%B5%D0%BA%D0%B5._%D0%9D%D0%B0%D1%88_%D0%BA%D0%B0%D1%82%D0%B5%D1%80.jpg/1280px-176_%D0%BE._%D0%A0%D0%B5%D0%B9%D0%BD%D0%B5%D0%BA%D0%B5._%D0%9D%D0%B0%D1%88_%D0%BA%D0%B0%D1%82%D0%B5%D1%80.jpg
Ладья,Конрад 24,Капитан,Нет,Залив Петра Великого,Славянка,2,8 м,5,Нет,17500,4,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/%D0%AF%D1%85%D1%82%D1%8B_%D0%BD%D0%B0_%D0%9E%D0%B1%D1%81%D0%BA%D0%BE%D0%BC_%D0%BC%D0%BE%D1%80%D0%B5_-_panoramio.jpg/1280px-%D0%AF%D1%85%D1%82%D1%8B_%D0%BD%D0%B0_%D0%9E%D0%B1%D1%81%D0%BA%D0%BE%D0%BC_%D0%BC%D0%BE%D1%80%D0%B5_-_panoramio.jpg
Норд-Ост,Опал 3,Капитан,Нет,Залив Петра Великого,Славянка,2,8 м,5,Нет,16500,3,https://upload.wikimedia.org/wikipedia/commons/a/aa/Admiral_nevelskoi_yacht.jpg
Морти,Bavaria 45,Капитан,Да,Владивосток,Центральный,5,15 м,10,2,35000,5,https://static.tildacdn.com/tild6266-3762-4766-b939-303630376638/_DSC1609.jpg
Рик,Bavaria 45,Капитан,Да,Владивосток,Центральный,5,15 м,10,2,35000,5,https://upload.wikimedia.org/wikipedia/commons/8/81/%D0%AF%D1%85%D1%82%D0%B0_%22%D0%92%D0%B8%D0%B3%D1%80%D0%B8%22%2C_RUS_1226.jpg
Косатка,Нева,Капитан и помощник,Нет,Владивосток,Центральный,3,9 м,6,Нет,21000,3,https://upload.wikimedia.org/wikipedia/commons/a/aa/Admiral_nevelskoi_yacht.jpg
Компас,Beneteau Oceanis 45,Капитан и помощник,Да,Владивосток,Центральный,5,14 м,10,2,36000,3,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Catamaran_m761.jpg/1280px-Catamaran_m761.jpg
Скиталец,Нева,Капитан,Нет,Залив Находка,Находка,3,9 м,6,Нет,21500,5,https://upload.wikimedia.org/wikipedia/commons/8/89/GRINDA_2010.jpg
Медуза,Л-6,Капитан,Нет,Залив Находка,Находка,3,11 м,7,1,25500,5,https://upload.wikimedia.org/wikipedia/commons/6/63/Princess57_%284949873489%29.jpg
Меридиан,Jongert 24T,Капитан и помощник,Да,Залив Находка,Находка,7,24 м,14,3,53000,4,https://upload.wikimedia.org/wikipedia/commons/f/fa/Sortavala_harbour.jpg
Serenity,Полутонник,Капитан,Нет,Азовское море,Ейск,3,10 м,6,1,14500,3,https://upload.wikimedia.org/wikipedia/commons/d/d9/%D0%9C%D0%B5%D0%B2%D1%8B_%D0%BD%D0%B0_%D0%90%D0%B7%D0%BE%D0%B2%D0%B5.jpg
Bora,Полутонник,Капитан,Нет,Азовское море,Ейск,3,10 м,6,Нет,15500,4,https://upload.wikimedia.org/wikipedia/commons/2/2d/Yacht_Sierra_in_Strogino_2024.jpg
Wind Chaser,Dehler 29,Капитан,Нет,Азовское море,Ейск,3,9 м,6,Нет,15500,4,https://upload.wikimedia.org/wikipedia/commons/b/bf/%D0%91%D0%B5%D0%BB%D0%BE%D0%B5_%D0%BC%D0%BE%D1%80%D0%B5_76.jpg
Aurora Borealis,Bavaria Cruiser 46,Капитан и помощник,Да,Таганрогский залив,Таганрог,4,14 м,9,2,25500,5,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Taganrog._Yacht_club_and_port_P4300007_2350.jpg/1280px-Taganrog._Yacht_club_and_port_P4300007_2350.jpg
Wanderer,Bavaria Cruiser 46,Капитан и помощник,Да,Таганрогский залив,Таганрог,3,14 м,9,1,24000,4,https://upload.wikimedia.org/wikipedia/commons/8/80/%D0%92%D0%B5%D1%82%D0%B5%D1%80_%D0%9B%D0%B0%D0%B4%D0%BE%D0%B3%D0%B004.jpg
Ягель,Нева,Капитан,Нет,Таганрогский залив,Таганрог,3,9 м,7,1,18000,4,https://upload.wikimedia.org/wikipedia/commons/d/d9/%D0%9C%D0%B5%D0%B2%D1%8B_%D0%BD%D0%B0_%D0%90%D0%B7%D0%BE%D0%B2%D0%B5.jpg
Sea Wolf,Ассоль,Капитан,Нет,Темрюкский залив,Темрюк,2,8 м,5,Нет,13500,4,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Kazan_River_port_area_08-2016_img1.jpg/1280px-Kazan_River_port_area_08-2016_img1.jpg
Гагара,Картер 30,Капитан,Нет,Темрюкский залив,Темрюк,3,9 м,6,Нет,15500,3,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Nizhny_Novgorod._Saint_Simeon_Church_in_the_Kremlin._Yachting_on_the_Volga._August_19%2C_2023.jpg/1280px-Nizhny_Novgorod._Saint_Simeon_Church_in_the_Kremlin._Yachting_on_the_Volga._August_19%2C_2023.jpg
Полярная звезда,Princess 62,Капитан и помощник,Да,Темрюкский залив,Темрюк,5,19 м,11,2,32500,4,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Taganrog._Yacht_club_and_port_P4300007_2350.jpg/1280px-Taganrog._Yacht_club_and_port_P4300007_2350.jpg
Спинакер,Hanse 415,Капитан,Да,Анапская бухта,Анапа,4,12 м,7,2,22000,4,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Unknown_Russian_Yacht_%D0%A018-48%D0%9C%D0%93_in_Tallinn_22_May_2013.jpg/1280px-Unknown_Russian_Yacht_%D0%A018-48%D0%9C%D0%93_in_Tallinn_22_May_2013.jpg
Торос,Jeanneau Sun Odyssey 449,Капитан и помощник,Да,Анапская бухта,Анапа,4,14 м,8,2,25500,4,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Yacht_club_Petrovskaya_kosa_9.jpg/1280px-Yacht_club_Petrovskaya_kosa_9.jpg
Calypso,Полутонник,Капитан,Нет,Анапская бухта,Анапа,4,10 м,7,Нет,21500,4,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/%D0%90%D1%80%D1%85%D0%B0%D0%BD%D0%B3%D0%B5%D0%BB%D1%8C%D1%81%D0%BA%D0%B8%D0%B9_%D1%80%D0%B5%D1%87%D0%BD%D0%BE%D0%B9_%D1%8F%D1%85%D1%82-%D0%BA%D0%BB%D1%83%D0%B1.jpg/1280px-%D0%90%D1%80%D1%85%D0%B0%D0%BD%D0%B3%D0%B5%D0%BB%D1%8C%D1%81%D0%BA%D0%B8%D0%B9_%D1%80%D0%B5%D1%87%D0%BD%D0%BE%D0%B9_%D1%8F%D1%85%D1%82-%D0%BA%D0%BB%D1%83%D0%B1.jpg
Corvus,Конрад 24,Капитан,Нет,Цемесская бухта,Новороссийск,2,8 м,5,1,17000,5,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/%D0%9F%D0%B0%D1%80%D1%83%D1%81%D0%BD%D0%B0%D1%8F_%D1%80%D0%B5%D0%B3%D0%B0%D1%82%D0%B0_%D0%B2_%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5_IMG_3402WI.jpg/1280px-%D0%9F%D0%B0%D1%80%D1%83%D1%81%D0%BD%D0%B0%D1%8F_%D1%80%D0%B5%D0%B3%D0%B0%D1%82%D0%B0_%D0%B2_%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5_IMG_3402WI.jpg
Фордевинд,Рикошет 747,Капитан,Нет,Цемесская бухта,Новороссийск,2,8 м,4,1,13500,5,https://upload.wikimedia.org/wikipedia/commons/4/43/%D0%9F%D1%80%D0%BE%D1%81%D1%82%D0%BE%D1%80_2001.jpg
Salty Dog,Galeon 425 HTS,Капитан,Да,Цемесская бухта,Новороссийск,3,13 м,8,2,26500,4,https://upload.wikimedia.org/wikipedia/commons/e/e8/%D0%AF%D0%BD%D1%82%D0%B0%D1%80%D0%B8_92.jpg
Midnight Sun,Beneteau Oceanis 45,Капитан и помощник,Да,Геленджикская бухта,Геленджик,3,14 м,9,1,31500,4,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/%D0%AF%D1%85%D1%82%D1%8B_%D0%BD%D0%B0_%D0%A0%D0%B5%D0%B9%D0%B4%D0%B5.jpg/1280px-%D0%AF%D1%85%D1%82%D1%8B_%D0%BD%D0%B0_%D0%A0%D0%B5%D0%B9%D0%B4%D0%B5.jpg
Lyra,Дракон,Капитан,Нет,Геленджикская бухта,Геленджик,3,9 м,6,Нет,19000,3,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/176_%D0%BE._%D0%A0%D0%B5%D0%B9%D0%BD%D0%B5%D0%BA%D0%B5._%D0%9D%D0%B0%D1%88_%D0%BA%D0%B0%D1%82%D0%B5%D1%80.jpg/1280px-176_%D0%BE._%D0%A0%D0%B5%D0%B9%D0%BD%D0%B5%D0%BA%D0%B5._%D0%9D%D0%B0%D1%88_%D0%BA%D0%B0%D1%82%D0%B5%D1%80.jpg
Валун,Hanse 415,Капитан,Да,Геленджикская бухта,Геленджик,3,12 м,6,1,19500,3,https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Anlegestelle_in_Listvyanka.jpg/1280px-Anlegestelle_in_Listvyanka.jpg
Кайра,Lagoon 42,Капитан,Да,Большой Сочи,Сочи,3,13 м,9,1,36000,4,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Catamaran_sailboat_on_the_lake%2C_Krasnoyarsk_Reservoir%2C_Russia.jpg/1280px-Catamaran_sailboat_on_the_lake%2C_Krasnoyarsk_Reservoir%2C_Russia.jpg
Странник,Lagoon 42,Капитан,Да,Большой Сочи,Сочи,3,13 м,8,1,30000,3,https://upload.wikimedia.org/wikipedia/commons/1/1c/Ship_in_Oktyabrsky.jpg
Nomad,Конрад 24,Капитан,Нет,Большой Сочи,Сочи,2,8 м,5,1,19000,4,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Yaht_Peter_Pervy_M25A0153.jpg/1280px-Yaht_Peter_Pervy_M25A0153.jpg
Solitude,Рикошет 747,Капитан,Нет,Большой Сочи,Сочи,2,8 м,5,1,18000,3,https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/%D0%AF%D1%85%D1%82-%D0%BA%D0%BB%D1%83%D0%B1_-_panoramio.jpg/1280px-%D0%AF%D1%85%D1%82-%D0%BA%D0%BB%D1%83%D0%B1_-_panoramio.jpg
Секстант,McGregor 65,Капитан и помощник,Да,Туапсинский залив,Туапсе,7,22 м,14,4,47000,4,https://static.tildacdn.com/tild3163-6436-4461-b630-333533373061/Photo_21052021_19_55.jpg
Zephyr,Princess 62,Капитан и помощник,Да,Туапсинский залив,Туапсе,6,19 м,12,2,39500,4,https://static.tildacdn.com/tild6266-3762-4766-b939-303630376638/_DSC1609.jpg
Tramontana,Bavaria 32,Капитан,Нет,Туапсинский залив,Туапсе,3,10 м,6,Нет,18500,4,https://static.tildacdn.com/tild3335-3634-4266-b932-383262303338/DSC09472.jpg
Коч,Ferretti 720,Капитан и помощник,Да,Северный Каспий,Астрахань,6,22 м,14,3,42000,4,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/40-th_Regatta_Onego-2011.JPG/1280px-40-th_Regatta_Onego-2011.JPG
Грот,Л-6,Капитан,Нет,Северный Каспий,Астрахань,4,11 м,8,Нет,23500,5,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Ladoga._Lauvatsaari_island.jpg/1280px-Ladoga._Lauvatsaari_island.jpg
Поморка,Alubat Ovni 435,Капитан,Да,Северный Каспий,Астрахань,3,13 м,7,2,20000,4,https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Peterson_25.JPG/1280px-Peterson_25.JPG
Sirocco,Beneteau Oceanis 45,Капитан и помощник,Да,Дагестанское побережье,Махачкала,5,14 м,10,2,28500,3,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Sailing_in_Gulf_of_Finland%2C_Russia-1.jpg/1280px-Sailing_in_Gulf_of_Finland%2C_Russia-1.jpg
Argo,Картер 30,Капитан,Нет,Дагестанское побережье,Махачкала,3,9 м,6,Нет,16500,3,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Sailing_in_Gulf_of_Finland%2C_Saint_Petersburg.jpg/1280px-Sailing_in_Gulf_of_Finland%2C_Saint_Petersburg.jpg
Салинг,Ferretti 720,Капитан и помощник,Да,Дагестанское побережье,Махачкала,7,22 м,14,3,44500,4,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Sunset_over_Gulf_of_Finland%2C_Saint_Petersburg.jpg/1280px-Sunset_over_Gulf_of_Finland%2C_Saint_Petersburg.jpg
